experiment,hour,date,device_make,platform_os,awareness
1,13,1,99,6,1
1,21,6,13,6,1
0,15,0,35,6,1
0,15,0,13,6,1
0,2,1,72,6,1
0,15,0,64,6,1
1,6,1,13,6,0
1,7,0,13,6,0
1,20,4,71,6,1
0,15,0,13,6,0
1,8,6,13,6,1
0,15,0,13,6,0
0,15,0,81,6,0
1,13,6,13,6,1
0,15,0,13,6,0
1,15,5,13,6,0
0,20,5,13,6,0
0,15,0,51,6,0
1,3,7,13,6,0
1,4,5,86,6,1
1,9,0,13,6,0
0,19,2,72,6,0
1,14,5,13,6,0
1,17,6,73,6,1
1,1,1,13,6,1
0,7,1,64,6,0
1,8,0,86,6,1
0,15,0,95,6,1
1,2,0,42,6,1
1,5,7,68,6,0
0,3,3,42,6,1
1,13,2,66,6,1
0,4,7,55,6,1
1,4,3,13,6,1
0,15,0,65,6,1
1,5,0,13,6,0
0,15,0,13,6,0
0,15,0,13,6,1
0,9,5,96,6,0
1,0,0,13,6,0
0,17,4,114,5,0
0,15,0,13,6,0
1,14,6,13,6,0
0,1,4,13,6,0
1,10,2,66,6,1
0,16,4,13,6,0
1,19,5,13,6,0
0,5,3,13,6,1
1,8,7,13,6,0
1,8,7,44,6,0
1,3,2,13,6,0
0,15,0,13,6,1
0,2,1,64,6,0
1,13,1,104,6,1
1,6,7,13,6,0
0,15,0,13,6,1
0,8,6,33,6,0
1,11,0,13,6,0
0,15,0,13,6,1
0,10,7,112,6,1
1,6,1,13,6,1
0,15,0,81,6,1
0,12,7,51,6,0
0,15,0,13,6,1
0,3,2,13,6,0
0,15,0,13,6,0
0,4,2,2,6,0
0,15,0,73,6,1
0,4,1,13,6,0
1,17,5,69,6,0
1,4,6,13,6,1
0,1,7,13,6,1
1,14,6,13,6,1
1,8,7,72,6,1
1,18,6,13,6,0
1,21,2,13,6,1
1,1,1,13,6,1
0,7,6,13,6,0
0,16,7,13,6,0
1,4,0,13,6,0
